# https://archive.ics.uci.edu/ml/machine-learning-databases/zoo/zoo.data,,,,,,,,,,,,,,,,
#   animal name:     (deleted),,,,,,,,,,,,,,,,
#   1. hair     Boolean",,,,,,,,,,,,,,,,
#   2. feathers     Boolean",,,,,,,,,,,,,,,,
#   3. eggs     Boolean",,,,,,,,,,,,,,,,
#   4. milk     Boolean",,,,,,,,,,,,,,,,
#   5. airborne     Boolean",,,,,,,,,,,,,,,,
#   6. aquatic      Boolean",,,,,,,,,,,,,,,,
#   7. predator     Boolean",,,,,,,,,,,,,,,,
#   8. toothed      Boolean",,,,,,,,,,,,,,,,
#  9. backbone     Boolean",,,,,,,,,,,,,,,,
#  10. breathes     Boolean",,,,,,,,,,,,,,,,
#  11. venomous     Boolean",,,,,,,,,,,,,,,,
#  12. fins     Boolean",,,,,,,,,,,,,,,,
#  13. legs     Numeric (set of values: {0",2,4,5,6,8}),,,,,,,,,,,
#  14. tail     Boolean",,,,,,,,,,,,,,,,
#  15. domestic     Boolean",,,,,,,,,,,,,,,,
#  16. catsize      Boolean",,,,,,,,,,,,,,,,
#  17. type     Numeric (integer values in range [0",6]),,,,,,,,,,,,,,,
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,3
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,6
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,6
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,5
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,4
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,4
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,0
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,0
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,5
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,1
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,5
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,6
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,4
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,6
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,2
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,1
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,6
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,0
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,6
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,5
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,4
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,2
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,0
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,5
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1